force_id,pfa_code,year_end,published_total,scope,retrieved,source
cleveland,E23000013,2025,6915,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
durham,E23000008,2025,2699,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
northumbria,E23000007,2025,10068,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
cheshire,E23000006,2025,11840,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
cumbria,E23000002,2025,9996,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
greater-manchester,E23000005,2025,50797,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
lancashire,E23000003,2025,20930,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
merseyside,E23000004,2025,54294,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
humberside,E23000012,2025,5527,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
north-yorkshire,E23000009,2025,2426,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
south-yorkshire,E23000011,2025,11905,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
west-yorkshire,E23000010,2025,18039,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
derbyshire,E23000018,2025,3517,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
leicestershire,E23000021,2025,5189,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
lincolnshire,E23000020,2025,2877,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
northamptonshire,E23000022,2025,3666,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
nottinghamshire,E23000019,2025,3441,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
staffordshire,E23000015,2025,6671,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
warwickshire,E23000017,2025,1357,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
west-mercia,E23000016,2025,3446,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
west-midlands,E23000014,2025,26168,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
bedfordshire,E23000026,2025,3884,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
cambridgeshire,E23000023,2025,2753,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
essex,E23000028,2025,14783,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
hertfordshire,E23000027,2025,6490,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
norfolk,E23000024,2025,2756,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
suffolk,E23000025,2025,2530,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
city-of-london,E23000034,2025,2348,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
metropolitan,E23000001,2025,122631,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
hampshire,E23000030,2025,13530,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
kent,E23000032,2025,15468,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
surrey,E23000031,2025,5637,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
sussex,E23000033,2025,6303,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
thames-valley,E23000029,2025,17666,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
avon-and-somerset,E23000036,2025,5611,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
devon-and-cornwall,E23000035,2025,5954,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
dorset,E23000039,2025,2029,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
gloucestershire,E23000037,2025,2611,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
wiltshire,E23000038,2025,1987,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
dyfed-powys,W15000004,2025,3696,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
gwent,W15000002,2025,3757,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
north-wales,W15000001,2025,4357,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
south-wales,W15000003,2025,4925,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
british-transport-police,,2025,15108,All relevant legislation; SS_20,2026-09-16,https://www.gov.uk/government/statistics/stop-and-search-arrests-and-mental-health-detentions-march-2025
